Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Sprint1,Chrome 114.0.0.0,,,2023-06-15 14:40:54,2023-06-15 15:17:04,36m - 10.575s,FAILED
,,,,,,,
Test Cases/Sprint 1/Login,Chrome 114.0.0.0,,,2023-06-15 14:40:54,2023-06-15 14:41:12,17.566s,PASSED
"openBrowser("""")",Chrome 114.0.0.0,,,2023-06-15 14:40:55,2023-06-15 14:41:02,6.296s,PASSED
maximizeWindow(),Chrome 114.0.0.0,,,2023-06-15 14:41:02,2023-06-15 14:41:02,0.200s,PASSED
"navigateToUrl(""https://livesust-test-web.optisolbusiness.com/login"")",Chrome 114.0.0.0,,,2023-06-15 14:41:02,2023-06-15 14:41:05,3.404s,PASSED
"setText(findTestObject(""Object Repository/Page_LiveSust/input_Provider Log In_Username  E-Mail Address""), ""Benedicta@yopmail.com"")",Chrome 114.0.0.0,,,2023-06-15 14:41:05,2023-06-15 14:41:06,1.252s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_LiveSust/input_Username  E-Mail Address_Password""), ""A6mEPJzh5E0zn4FxjKHQNA=="")",Chrome 114.0.0.0,,,2023-06-15 14:41:06,2023-06-15 14:41:07,0.784s,PASSED
"click(findTestObject(""Object Repository/Page_LiveSust/button_Log In""))",Chrome 114.0.0.0,,,2023-06-15 14:41:07,2023-06-15 14:41:08,0.656s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_LiveSust/div_Login successfully""), 0)",Chrome 114.0.0.0,,,2023-06-15 14:41:08,2023-06-15 14:41:10,2.526s,PASSED
closeBrowser(),Chrome 114.0.0.0,,,2023-06-15 14:41:10,2023-06-15 14:41:12,1.455s,PASSED
,,,,,,,
Test Cases/Sprint 1/Postive scenario of change password,Chrome 114.0.0.0,,,2023-06-15 14:45:14,2023-06-15 14:46:34,1m - 20.127s,FAILED
"openBrowser("""")",Chrome 114.0.0.0,,,2023-06-15 14:45:14,2023-06-15 14:45:19,4.793s,PASSED
"navigateToUrl(""https://livesust-test-web.optisolbusiness.com/login"")",Chrome 114.0.0.0,,,2023-06-15 14:45:19,2023-06-15 14:45:23,3.820s,PASSED
"setText(findTestObject(""Object Repository/Page_LiveSust/input_Provider Log In_Username  E-Mail Address""), ""Benedicta@yopmail.com"")",Chrome 114.0.0.0,,,2023-06-15 14:45:23,2023-06-15 14:45:24,1.364s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_LiveSust/input_Username  E-Mail Address_Password""), ""A6mEPJzh5E0jyMlyB9kA3w=="")",Chrome 114.0.0.0,,,2023-06-15 14:45:24,2023-06-15 14:45:25,0.690s,PASSED
