Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Sprint3,Chrome 114.0.0.0,,,2023-06-15 13:30:05,2023-06-15 14:23:31,53m - 26.218s,FAILED
,,,,,,,
Test Cases/Sprint 3/Add crew with valid inputs,Chrome 114.0.0.0,,,2023-06-15 13:35:55,2023-06-15 13:37:49,1m - 53.512s,FAILED
"openBrowser("""")",Chrome 114.0.0.0,,,2023-06-15 13:35:55,2023-06-15 13:36:00,4.865s,PASSED
"navigateToUrl(""https://livesust-test-web.optisolbusiness.com/login"")",Chrome 114.0.0.0,,,2023-06-15 13:36:00,2023-06-15 13:36:04,3.758s,PASSED
maximizeWindow(),Chrome 114.0.0.0,,,2023-06-15 13:36:04,2023-06-15 13:36:04,0.234s,PASSED
"setText(findTestObject(""Object Repository/Page_LiveSust/input_Provider Log In_Username  E-Mail Address""), ""Sachin@yopmail.com"")",Chrome 114.0.0.0,,,2023-06-15 13:36:04,2023-06-15 13:36:05,1.127s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_LiveSust/input_Username  E-Mail Address_Password""), ""+p0xE3Qc9agwqAa4cuTULg=="")",Chrome 114.0.0.0,,,2023-06-15 13:36:05,2023-06-15 13:36:06,0.672s,PASSED
"click(findTestObject(""Object Repository/Page_LiveSust/button_Log In""))",Chrome 114.0.0.0,,,2023-06-15 13:36:06,2023-06-15 13:36:07,0.715s,PASSED
"click(findTestObject(""Object Repository/Page_LiveSust/span_Crews""))",Chrome 114.0.0.0,,,2023-06-15 13:36:07,2023-06-15 13:36:09,2.538s,PASSED
"click(findTestObject(""Object Repository/Page_LiveSust/button_Add Crew""))",Chrome 114.0.0.0,,,2023-06-15 13:36:09,2023-06-15 13:36:41,31.743s,PASSED
"setText(findTestObject(""Object Repository/Page_LiveSust/input_Archived_Crew Name""), ""Crewwwww@1235"")",Chrome 114.0.0.0,,,2023-06-15 13:36:41,2023-06-15 13:36:43,2.217s,PASSED
"click(findTestObject(""Object Repository/Page_LiveSust/div_Assign Team Members""))",Chrome 114.0.0.0,,,2023-06-15 13:36:43,2023-06-15 13:36:44,0.623s,PASSED
"click(findTestObject(""Object Repository/Page_LiveSust/label_Vaniiiiii Vv""))",Chrome 114.0.0.0,,,2023-06-15 13:36:44,2023-06-15 13:36:44,0.540s,PASSED
"click(findTestObject(""Object Repository/Page_LiveSust/label_hjhuk hgjhu""))",Chrome 114.0.0.0,,,2023-06-15 13:36:44,2023-06-15 13:36:45,0.666s,PASSED
"click(findTestObject(""Object Repository/Page_LiveSust/div_Crew NameVaniiiiii Vvhjhuk hgjhuSelect _b5400d""))",Chrome 114.0.0.0,,,2023-06-15 13:36:45,2023-06-15 13:36:46,0.540s,PASSED
"click(findTestObject(""Object Repository/Page_LiveSust/input_Crew Colors_color-picker-input w-50 f_89ff85""))",Chrome 114.0.0.0,,,2023-06-15 13:36:46,2023-06-15 13:37:49,1m - 3.245s,FAILED
,,,,,,,
Test Cases/Sprint 3/Edit crew,Chrome 114.0.0.0,,,2023-06-15 13:41:52,2023-06-15 13:43:13,1m - 21.032s,FAILED
"openBrowser("""")",Chrome 114.0.0.0,,,2023-06-15 13:41:52,2023-06-15 13:41:57,5.103s,PASSED
