Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Sprint 4,Chrome 114.0.0.0,,,2023-06-15 12:36:26,2023-06-15 13:29:03,52m - 37.299s,FAILED
,,,,,,,
Test Cases/Sprint 4/Add equip,Chrome 114.0.0.0,,,2023-06-15 12:45:14,2023-06-15 12:48:05,2m - 51.039s,FAILED
"openBrowser("""")",Chrome 114.0.0.0,,,2023-06-15 12:45:14,2023-06-15 12:45:19,5.093s,PASSED
"navigateToUrl(""https://livesust-test-web.optisolbusiness.com/login"")",Chrome 114.0.0.0,,,2023-06-15 12:45:19,2023-06-15 12:45:22,3.608s,PASSED
maximizeWindow(),Chrome 114.0.0.0,,,2023-06-15 12:45:22,2023-06-15 12:45:22,0.175s,PASSED
"setText(findTestObject(""Object Repository/Page_LiveSust/input_Provider Log In_Username  E-Mail Address""), ""Sachin@yopmail.com"")",Chrome 114.0.0.0,,,2023-06-15 12:45:22,2023-06-15 12:45:24,1.230s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_LiveSust/input_Username  E-Mail Address_Password""), ""+p0xE3Qc9agwqAa4cuTULg=="")",Chrome 114.0.0.0,,,2023-06-15 12:45:24,2023-06-15 12:45:24,0.657s,PASSED
"click(findTestObject(""Object Repository/Page_LiveSust/button_Log In""))",Chrome 114.0.0.0,,,2023-06-15 12:45:24,2023-06-15 12:45:25,0.690s,PASSED
"click(findTestObject(""Object Repository/Page_LiveSust/span_Equipment""))",Chrome 114.0.0.0,,,2023-06-15 12:45:25,2023-06-15 12:45:28,3.130s,PASSED
"click(findTestObject(""Object Repository/Page_LiveSust/button_Add Equipment""))",Chrome 114.0.0.0,,,2023-06-15 12:45:28,2023-06-15 12:46:00,31.686s,PASSED
"click(findTestObject(""Page_LiveSust/button_Equipment Type""))",Chrome 114.0.0.0,,,2023-06-15 12:46:00,2023-06-15 12:46:01,1.127s,PASSED
"click(findTestObject(""Page_LiveSust/li_Powered Equipment""))",Chrome 114.0.0.0,,,2023-06-15 12:46:01,2023-06-15 12:46:01,0.531s,PASSED
delay(20),Chrome 114.0.0.0,,,2023-06-15 12:46:01,2023-06-15 12:46:21,20.006s,PASSED
"setText(findTestObject(""Object Repository/Page_LiveSust/input_No_Name""), ""New EQuips"")",Chrome 114.0.0.0,,,2023-06-15 12:46:21,2023-06-15 12:46:22,0.907s,PASSED
"setText(findTestObject(""Object Repository/Page_LiveSust/input_Name_Serial""), ""5678"")",Chrome 114.0.0.0,,,2023-06-15 12:46:22,2023-06-15 12:46:23,0.896s,PASSED
"setText(findTestObject(""Object Repository/Page_LiveSust/input_Serial_Size""), ""45"")",Chrome 114.0.0.0,,,2023-06-15 12:46:23,2023-06-15 12:46:24,0.861s,PASSED
"setText(findTestObject(""Object Repository/Page_LiveSust/input_Size_Weight (lbs)""), ""34"")",Chrome 114.0.0.0,,,2023-06-15 12:46:24,2023-06-15 12:46:25,0.880s,PASSED
"click(findTestObject(""Object Repository/Page_LiveSust/input_Owned_Leased""))",Chrome 114.0.0.0,,,2023-06-15 12:46:25,2023-06-15 12:46:26,0.550s,PASSED
"click(findTestObject(""Object Repository/Page_LiveSust/input_Crew Colors_color-picker-input w-50 f_89ff85""))",Chrome 114.0.0.0,,,2023-06-15 12:46:26,2023-06-15 12:46:26,0.576s,PASSED
"click(findTestObject(""Object Repository/Page_LiveSust/span_2""))",Chrome 114.0.0.0,,,2023-06-15 12:46:26,2023-06-15 12:46:27,0.569s,PASSED
"setText(findTestObject(""Object Repository/Page_LiveSust/textarea_Equipment Group Name_Notes""), ""Notes about equips"")",Chrome 114.0.0.0,,,2023-06-15 12:46:27,2023-06-15 12:47:30,1m - 3.351s,PASSED
"click(findTestObject(""Object Repository/Page_LiveSust/div_Assign Equipment Group""))",Chrome 114.0.0.0,,,2023-06-15 12:47:30,2023-06-15 12:47:31,0.586s,PASSED
"click(findTestObject(""Object Repository/Page_LiveSust/label_MyEquip""))",Chrome 114.0.0.0,,,2023-06-15 12:47:31,2023-06-15 12:47:31,0.655s,PASSED
"click(findTestObject(""Object Repository/Page_LiveSust/label_bnbsf""))",Chrome 114.0.0.0,,,2023-06-15 12:47:31,2023-06-15 12:47:32,0.547s,PASSED
"click(findTestObject(""Object Repository/Page_LiveSust/div_Equipment Type  Powered Equipment  Powe_825324""))",Chrome 114.0.0.0,,,2023-06-15 12:47:32,2023-06-15 12:47:32,0.519s,PASSED
"click(findTestObject(""Object Repository/Page_LiveSust/button_Save Equipment""))",Chrome 114.0.0.0,,,2023-06-15 12:47:32,2023-06-15 12:47:33,0.604s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_LiveSust/div_Equipment created successfully""), 0)",Chrome 114.0.0.0,,,2023-06-15 12:47:33,2023-06-15 12:48:05,31.584s,FAILED
,,,,,,,
